EngagementID,CustomerID,ProductID,Date,Views,Clicks,Likes,Duration,CampaignID,Converted
E00001,C1038,P005,2023-01-01,12,0,0,342,CAMP_012,0
E00002,C0099,P013,2023-01-01,6,5,0,440,CAMP_019,0
E00003,C0033,P025,2023-01-01,13,0,0,379,CAMP_013,0
E00004,C1460,P003,2023-01-01,5,0,0,53,CAMP_008,0
E00005,C0257,P005,2023-01-01,1,3,1,306,CAMP_002,0
E00006,C0034,P016,2023-01-01,8,5,1,475,CAMP_019,0
E00007,C0019,P019,2023-01-01,12,1,1,259,CAMP_014,0
E00008,C1688,P028,2023-01-01,7,0,0,431,CAMP_001,0
E00009,C1284,P019,2023-01-01,5,0,0,482,CAMP_009,0
E00010,C1700,P017,2023-01-01,13,0,0,282,CAMP_019,0
E00011,C0589,P018,2023-01-01,10,0,0,182,CAMP_014,0
E00012,C1850,P018,2023-01-01,10,0,0,245,CAMP_004,0
E00013,C1440,P025,2023-01-01,7,0,0,55,CAMP_002,0
E00014,C0137,P023,2023-01-01,10,5,0,401,CAMP_010,1
E00015,C0359,P008,2023-01-01,3,0,0,242,CAMP_015,0
E00016,C1744,P018,2023-01-01,8,0,0,426,CAMP_001,0
E00017,C0754,P009,2023-01-01,5,0,0,275,CAMP_011,0
E00018,C1603,P029,2023-01-01,2,3,1,199,CAMP_016,1
E00019,C1140,P019,2023-01-01,2,1,1,192,CAMP_013,0
E00020,C0404,P010,2023-01-01,4,4,1,366,CAMP_008,0
E00021,C1226,P029,2023-01-01,7,3,0,148,CAMP_009,0
E00022,C1400,P002,2023-01-01,14,5,1,556,CAMP_015,0
E00023,C0250,P028,2023-01-02,10,0,0,514,CAMP_005,0
E00024,C0446,P017,2023-01-02,4,0,0,491,CAMP_020,0
E00025,C0954,P025,2023-01-02,9,0,0,361,CAMP_018,0
E00026,C0278,P024,2023-01-02,2,0,0,351,CAMP_002,0
E00027,C0112,P013,2023-01-02,6,0,0,82,CAMP_005,0
E00028,C1987,P028,2023-01-02,4,1,1,172,CAMP_020,0
E00029,C1867,P011,2023-01-02,6,2,0,232,CAMP_016,1
E00030,C1497,P016,2023-01-02,10,4,1,194,CAMP_016,0
E00031,C0746,P020,2023-01-02,9,0,0,104,CAMP_004,0
E00032,C0688,P007,2023-01-02,10,4,0,318,CAMP_020,0
E00033,C0392,P028,2023-01-02,12,0,0,157,CAMP_011,0
E00034,C0969,P030,2023-01-02,9,3,0,328,CAMP_020,0
E00035,C0143,P003,2023-01-02,9,0,0,188,CAMP_016,0
E00036,C1056,P016,2023-01-02,9,5,1,300,CAMP_012,0
E00037,C0181,P019,2023-01-02,3,0,0,506,CAMP_006,0
E00038,C0579,P020,2023-01-02,12,2,1,310,CAMP_016,0
E00039,C1540,P016,2023-01-02,11,3,0,170,CAMP_019,0
E00040,C0798,P002,2023-01-02,14,0,0,70,CAMP_011,0
E00041,C0269,P014,2023-01-02,9,0,0,81,CAMP_012,0
E00042,C1260,P026,2023-01-02,3,0,0,446,CAMP_004,0
E00043,C1301,P020,2023-01-02,10,0,0,491,CAMP_013,0
E00044,C0553,P010,2023-01-02,3,0,0,124,CAMP_002,0
E00045,C0633,P019,2023-01-03,5,0,0,215,CAMP_019,0
E00046,C0275,P024,2023-01-03,6,1,0,343,CAMP_011,0
E00047,C0743,P011,2023-01-03,9,5,1,315,CAMP_001,0
E00048,C1840,P018,2023-01-03,1,2,0,563,CAMP_009,0
E00049,C0086,P011,2023-01-03,8,0,0,541,CAMP_010,0
E00050,C1087,P009,2023-01-03,14,0,0,589,CAMP_003,0
E00051,C0404,P019,2023-01-03,14,0,0,144,CAMP_008,0
E00052,C0192,P020,2023-01-03,4,4,0,587,CAMP_016,1
E00053,C1317,P029,2023-01-03,10,3,0,160,CAMP_004,0
E00054,C1055,P010,2023-01-03,7,0,0,557,CAMP_011,0
E00055,C1354,P030,2023-01-03,6,1,1,149,CAMP_008,0
E00056,C1682,P026,2023-01-03,6,0,0,416,CAMP_007,0
E00057,C0107,P003,2023-01-03,7,5,1,499,CAMP_020,0
E00058,C1895,P003,2023-01-03,4,5,0,214,CAMP_015,1
E00059,C0622,P024,2023-01-03,6,0,0,304,CAMP_008,0
E00060,C0276,P008,2023-01-03,3,4,0,591,CAMP_010,0
E00061,C1746,P029,2023-01-03,5,5,0,193,CAMP_019,0
E00062,C0651,P029,2023-01-03,13,0,0,27,CAMP_005,0
E00063,C1622,P006,2023-01-03,13,0,0,392,CAMP_003,0
E00064,C0556,P020,2023-01-03,14,0,0,580,CAMP_007,0
E00065,C1106,P001,2023-01-03,13,0,0,551,CAMP_006,0
E00066,C1088,P020,2023-01-03,2,5,0,517,CAMP_017,0
E00067,C1914,P024,2023-01-04,3,4,1,201,CAMP_010,0
E00068,C1954,P006,2023-01-04,13,0,0,207,CAMP_020,0
E00069,C1879,P002,2023-01-04,9,2,1,251,CAMP_015,0
E00070,C1857,P019,2023-01-04,6,4,1,100,CAMP_002,0
E00071,C0567,P028,2023-01-04,3,0,0,11,CAMP_001,0
E00072,C0586,P007,2023-01-04,2,4,1,474,CAMP_012,0
E00073,C0885,P011,2023-01-04,5,0,0,294,CAMP_013,0
E00074,C0129,P011,2023-01-04,10,3,0,13,CAMP_012,0
E00075,C0256,P004,2023-01-04,14,5,0,247,CAMP_012,0
E00076,C0934,P020,2023-01-04,5,1,1,561,CAMP_007,1
E00077,C0231,P016,2023-01-04,1,0,0,448,CAMP_007,0
E00078,C1521,P005,2023-01-04,3,5,0,399,CAMP_006,0
E00079,C1161,P024,2023-01-04,7,0,0,338,CAMP_013,0
E00080,C0863,P030,2023-01-04,9,0,0,250,CAMP_009,0
E00081,C1479,P030,2023-01-04,5,4,0,504,CAMP_016,1
E00082,C1937,P007,2023-01-04,4,0,0,70,CAMP_002,0
E00083,C0355,P025,2023-01-04,3,0,0,71,CAMP_011,0
E00084,C1648,P016,2023-01-04,10,0,0,461,CAMP_003,0
E00085,C1509,P015,2023-01-04,13,2,0,286,CAMP_009,0
E00086,C1844,P005,2023-01-04,9,0,0,168,CAMP_012,0
E00087,C0146,P001,2023-01-04,14,0,0,248,CAMP_002,0
E00088,C1983,P020,2023-01-04,7,1,0,52,CAMP_019,0
E00089,C1057,P022,2023-01-05,12,3,0,422,CAMP_006,1
E00090,C0260,P022,2023-01-05,7,1,1,448,CAMP_018,0
E00091,C0087,P009,2023-01-05,14,5,1,323,CAMP_013,0
E00092,C0843,P026,2023-01-05,13,3,0,161,CAMP_014,1
E00093,C1972,P029,2023-01-05,8,0,0,89,CAMP_008,0
E00094,C0265,P021,2023-01-05,10,2,0,146,CAMP_009,0
E00095,C1856,P005,2023-01-05,1,0,0,459,CAMP_013,0
E00096,C1566,P022,2023-01-05,11,0,0,395,CAMP_017,0
E00097,C0392,P027,2023-01-05,4,0,0,392,CAMP_006,0
E00098,C0232,P006,2023-01-05,13,0,0,174,CAMP_020,0
E00099,C0901,P003,2023-01-05,13,1,1,311,CAMP_010,0
E00100,C0588,P006,2023-01-05,5,0,0,57,CAMP_011,0
E00101,C0447,P008,2023-01-05,5,0,0,136,CAMP_010,0
E00102,C1153,P028,2023-01-05,1,3,0,377,CAMP_006,0
E00103,C1295,P006,2023-01-05,3,5,1,41,CAMP_006,0
E00104,C1113,P016,2023-01-05,2,5,1,516,CAMP_015,0
E00105,C0466,P028,2023-01-05,12,4,1,86,CAMP_007,0
E00106,C0934,P016,2023-01-05,7,3,0,210,CAMP_012,0
E00107,C1194,P027,2023-01-05,13,4,1,77,CAMP_020,0
E00108,C0128,P021,2023-01-05,14,3,1,37,CAMP_009,1
E00109,C1198,P003,2023-01-05,5,0,0,409,CAMP_001,0
E00110,C1973,P017,2023-01-05,3,4,0,66,CAMP_016,0
E00111,C1050,P021,2023-01-06,11,0,0,212,CAMP_018,0
E00112,C0573,P006,2023-01-06,8,0,0,576,CAMP_007,0
E00113,C0511,P030,2023-01-06,1,0,0,92,CAMP_018,0
E00114,C0488,P006,2023-01-06,1,5,0,260,CAMP_008,0
E00115,C0891,P030,2023-01-06,14,0,0,351,CAMP_015,0
E00116,C0579,P022,2023-01-06,6,2,0,432,CAMP_006,0
E00117,C0950,P019,2023-01-06,1,5,0,448,CAMP_012,0
E00118,C0406,P020,2023-01-06,4,0,0,423,CAMP_015,0
E00119,C1050,P015,2023-01-06,6,2,1,142,CAMP_015,0
E00120,C1107,P019,2023-01-06,1,5,0,438,CAMP_010,0
